angle[deg]    EIRP[dBW]
1.07751e+0    3.07200e+1
2.09537e+0    3.08800e+1
3.11322e+0    3.10400e+1
4.01763e+0    3.11200e+1
5.14757e+0    3.11200e+1
6.05243e+0    3.12800e+1
7.06847e+0    3.11200e+1
8.08542e+0    3.11200e+1
8.98893e+0    3.10400e+1
1.02305e+1    3.08000e+1
1.11308e+1    3.01600e+1
1.21437e+1    2.94400e+1
1.31557e+1    2.85600e+1
1.40556e+1    2.78400e+1
1.51797e+1    2.68000e+1
1.60773e+1    2.56800e+1
1.72009e+1    2.45600e+1
1.80976e+1    2.32800e+1
1.92176e+1    2.15200e+1
2.01098e+1    1.94400e+1
2.11110e+1    1.66400e+1
2.20832e+1    8.72000e+0
2.29202e+1    -3.12000e+0
2.41288e+1    -9.20000e+0
2.49568e+1    -2.64000e+0
2.61347e+1    5.84000e+0
2.70563e+1    8.96000e+0
2.80886e+1    1.16800e+1
2.91182e+1    1.39200e+1
3.01424e+1    1.52000e+1
3.12750e+1    1.56800e+1
3.21790e+1    1.56800e+1
3.31932e+1    1.52000e+1
3.42066e+1    1.45600e+1
3.51069e+1    1.39200e+1
3.62332e+1    1.32800e+1
3.71327e+1    1.24800e+1
3.82567e+1    1.14400e+1
3.91539e+1    1.02400e+1
4.02780e+1    9.20000e+0
4.11774e+1    8.40000e+0
4.20786e+1    7.92000e+0
4.32059e+1    7.44000e+0
4.41080e+1    7.12000e+0
4.52353e+1    6.64000e+0
4.61374e+1    6.32000e+0
4.71512e+1    5.76000e+0
4.82784e+1    5.28000e+0
4.90671e+1    4.88000e+0
5.03069e+1    4.32000e+0
5.12081e+1    3.84000e+0
5.22210e+1    3.12000e+0
5.32334e+1    2.32000e+0
5.41333e+1    1.60000e+0
5.52601e+1    1.04000e+0
5.61627e+1    8.00000e-1
5.71797e+1    8.00000e-1
5.81966e+1    8.00000e-1
5.94395e+1    8.00000e-1
6.01175e+1    8.00000e-1
6.11345e+1    8.00000e-1
6.22644e+1    8.00000e-1
6.31679e+1    7.20000e-1
6.42979e+1    7.20000e-1
6.63318e+1    7.20000e-1
6.81397e+1    7.20000e-1
6.93826e+1    7.20000e-1
7.02866e+1    7.20000e-1
