angle[deg]    EIRP[dBW]
1.01153e+0    2.70400e+1
1.96610e+0    2.80000e+1
3.09966e+0    2.86400e+1
4.11887e+0    2.90400e+1
5.13808e+0    2.94400e+1
6.04339e+0    2.96800e+1
7.06169e+0    2.99200e+1
8.07955e+0    3.00800e+1
9.09650e+0    3.00800e+1
1.01134e+1    3.00800e+1
1.11304e+1    3.00800e+1
1.22590e+1    2.98400e+1
1.31584e+1    2.90400e+1
1.40556e+1    2.78400e+1
1.51797e+1    2.68000e+1
1.60755e+1    2.53600e+1
1.71955e+1    2.36000e+1
1.80886e+1    2.16800e+1
1.92068e+1    1.96000e+1
2.00981e+1    1.73600e+1
2.11024e+1    1.51200e+1
2.21021e+1    1.20800e+1
2.29953e+1    1.01600e+1
2.42400e+1    1.04800e+1
2.50355e+1    1.12800e+1
2.61718e+1    1.24000e+1
2.70829e+1    1.36800e+1
2.79941e+1    1.49600e+1
2.90174e+1    1.60800e+1
3.01514e+1    1.68000e+1
3.11697e+1    1.70400e+1
3.20678e+1    1.60000e+1
3.32990e+1    1.39200e+1
3.41925e+1    1.20800e+1
3.50920e+1    1.12800e+1
3.62183e+1    1.06400e+1
3.71191e+1    1.00800e+1
3.82463e+1    9.60000e+0
3.91476e+1    9.12000e+0
4.01595e+1    8.24000e+0
4.11702e+1    7.12000e+0
4.20547e+1    3.68000e+0
4.31566e+1    -1.28000e+0
4.40461e+1    -3.84000e+0
4.51806e+1    -3.04000e+0
4.60958e+1    -1.04000e+0
4.70151e+1    1.68000e+0
4.81614e+1    4.56000e+0
4.90811e+1    7.36000e+0
5.02219e+1    9.28000e+0
5.11304e+1    1.00800e+1
5.23738e+1    1.01600e+1
5.32759e+1    9.84000e+0
5.40646e+1    9.44000e+0
5.53049e+1    8.96000e+0
5.62056e+1    8.40000e+0
5.72190e+1    7.76000e+0
5.82323e+1    7.12000e+0
5.93586e+1    6.48000e+0
6.02590e+1    5.84000e+0
6.11589e+1    5.12000e+0
6.22852e+1    4.48000e+0
6.31855e+1    3.84000e+0
6.43114e+1    3.12000e+0
6.52108e+1    2.32000e+0
6.63363e+1    1.52000e+0
6.73492e+1    8.00000e-1
6.81347e+1    -1.60000e-1
6.92601e+1    -9.60000e-1
7.02721e+1    -1.84000e+0
