Angle [deg] 	Gain [db]
4.64222e-1    8.97999e+0
1.94749e+0    8.96817e+0
3.43077e+0    8.95857e+0
4.91415e+0    8.96012e+0
6.39738e+0    8.94383e+0
7.88053e+0    8.91864e+0
9.36382e+0    8.90904e+0
1.08466e+1    8.84374e+0
1.23292e+1    8.74723e+0
1.38117e+1    8.64627e+0
1.52941e+1    8.53640e+0
1.67761e+1    8.37973e+0
1.82581e+1    8.22306e+0
1.97401e+1    8.06416e+0
2.12218e+1    7.86737e+0
2.27034e+1    7.66391e+0
2.41850e+1    7.45821e+0
2.56665e+1    7.23692e+0
2.71477e+1    6.98220e+0
2.86288e+1    6.72525e+0
3.01100e+1    6.46607e+0
3.15908e+1    6.17570e+0
3.30716e+1    5.87864e+0
3.45524e+1    5.57712e+0
3.60331e+1    5.26001e+0
3.75136e+1    4.92953e+0
3.89941e+1    4.59681e+0
4.04746e+1    4.25964e+0
4.19548e+1    3.90019e+0
4.34351e+1    3.54296e+0
4.49153e+1    3.17459e+0
4.63955e+1    2.79731e+0
4.78756e+1    2.41780e+0
4.93557e+1    2.03606e+0
5.08357e+1    1.64987e+0
5.23156e+1    1.24362e+0
5.37955e+1    8.44054e-1
5.52754e+1    4.40032e-1
5.67552e+1    2.70968e-2
5.82351e+1    -3.79154e-1
5.97149e+1    -7.94317e-1
6.11947e+1    -1.20725e+0
6.26745e+1    -1.62465e+0
6.41542e+1    -2.04427e+0
6.56340e+1    -2.47057e+0
6.71137e+1    -2.89019e+0
6.85935e+1    -3.30313e+0
7.00733e+1    -3.71829e+0
7.15532e+1    -4.12677e+0
7.30331e+1    -4.52856e+0
7.45129e+1    -4.93927e+0
7.59929e+1    -5.33661e+0
7.74728e+1    -5.74063e+0
7.89527e+1    -6.13797e+0
8.04327e+1    -6.52862e+0
8.19128e+1    -6.91704e+0
8.33928e+1    -7.30101e+0
8.48729e+1    -7.68720e+0
8.63530e+1    -8.06003e+0
8.78333e+1    -8.42617e+0
8.93135e+1    -8.79453e+0
