# THRUSTERS IGNITION FILE
# 
# jd0 = 2461485.70833333 days
# obt0 = 858877200 s
#
# Status equal to 1 starts the ignition at the corresponding time
# OBT time [s]	status
858877200	0
858879600	1
858895375	0
858896886	1
858933298	0
858934811	1
858971301	0
858972817	1
859009384	0
859010902	1
859047547	0
859049069	1
859085793	0
859087317	1
859124122	0
859125649	1
859162533	0
859164063	1
859201029	0
859202562	1
859239608	0
859241143	1
859278274	0
859279811	1
859317023	0
859318563	1
859355859	0
859357402	1
859394781	0
859396328	1
859433790	0
859435339	1
859472887	0
859474440	1
859512072	0
859513627	1
859551346	0
859552906	1
859590711	0
859592273	1
859630165	0
859631729	1
859669710	0
859671278	1
859709347	0
859710919	1
859749075	0
859750651	1
859788898	0
859790475	1
859828813	0
859830394	1
859868822	0
859870407	1
859908926	0
859910515	1
859949127	0
859950718	1
859989422	0
859991016	1
860029814	0
860031413	1
860070306	0
860071907	1
860110894	0
860112499	1
860151583	0
860153191	1
860192369	0
860193982	1
860233258	0
860234874	1
860274246	0
860275867	1
860315337	0
860316960	1
860356531	0
860358158	1
860397828	0
860399458	1
860439227	0
860440863	1
860480732	0
860482373	1
860522343	0
860523988	1
860564060	0
860565709	1
860605884	0
860607537	1
860647815	0
860649473	1
860689856	0
860691518	1
860732004	0
860733672	1
860774264	0
860775937	1
860816635	0
860818313	1
860859119	0
860860802	1
860901716	0
860903403	1
860944428	0
860946119	1
860987254	0
860988949	1
861030196	0
861031896	1
861073255	0
861074960	1
861116433	0
861118142	1
861159730	0
861161445	1
861203146	0
861204865	1
861246682	0
861248406	1
861290340	0
861292069	1
861334122	0
861335855	1
861378026	0
861379767	1
861422054	0
861423801	1
861466210	0
861467960	1
861510490	0
861512246	1
861554900	0
861556663	1
861599438	0
861601206	1
861644104	0
861645878	1
861688903	0
861690682	1
861733833	0
861735620	1
861778897	0
861780689	1
861824093	0
861825891	1
861869426	0
861871230	1
861914896	0
861916708	1
861960504	0
861962321	1
862006252	0
862008077	1
862052139	0
862053970	1
862098169	0
862100005	1
862144341	0
862146186	1
862190658	0
862192507	1
862237121	0
862238978	1
862283730	0
862285593	1
862330487	0
862332359	1
862377397	0
862379272	1
862424455	0
862426339	1
862471666	0
862473556	1
862519031	0
862520930	1
862566554	0
862568460	1
862614231	0
862616143	1
862662068	0
862663989	1
862710065	0
862711990	1
862758221	0
862760157	1
862806541	0
862808482	1
862855025	0
862856975	1
862903674	0
862905633	1
862952490	0
862954456	1
863001475	0
863003450	1
863050631	0
863052611	1
863099958	0
863101949	1
863149459	0
863151460	1
863199136	0
863201142	1
863248993	0
863251007	1
863299027	0
863301051	1
863349243	0
863351277	1
863399643	0
863401682	1
863450230	0
863452276	1
863501002	0
863503058	1
863551966	0
863554030	1
863603119	0
863605193	1
863654467	0
863656549	1
863706010	0
863708096	1
863757748	0
863759845	1
863809688	0
863811793	1
863861829	0
863863943	1
863914173	0
863916297	1
863966725	0
863968856	1
864019483	0
864021624	1
864072450	0
864074596	1
864125631	0
864127787	1
864179028	0
864181192	1
864232640	0
864234814	1
864286475	0
864288656	1
864340533	0
864342721	1
864394812	0
864397011	1
864449323	0
864451529	1
864504064	0
864506277	1
864559038	0
864561258	1
864614249	0
864616476	1
864669699	0
864671933	1
864725392	0
864727632	1
864781330	0
864783576	1
864837516	0
864839769	1
864893954	0
864896213	1
864950649	0
864952912	1
865007600	0
865009869	1
865064814	0
865067087	1
865122293	0
865124569	1
865180039	0
865182319	1
865238056	0
865240339	1
865296347	0
865298633	1
865354915	0
865357205	1
865413765	0
865416057	1
865472903	0
865475195	1
865532327	0
865534621	1
865592048	0
865594340	1
865652068	0
865654356	1
865712386	0
865714674	1
865773015	0
865775297	1
865833951	0
865836228	1
865895198	0
865897468	1
865956755	0
865959018	1
866018626	0
866020880	1
866080814	0
866083055	1
866143318	0
866145536	1
866206132	0
866208339	1
866269267	0
866271458	1
866332718	0
866334891	1
866396490	0
866398630	1
866460572	0
866462691	1
866524974	0
866527057	1
866589689	0
866591732	1
866654714	0
866656725	1
866720046	0
866722013	1
866785683	0
866787603	1
866851625	0
866853479	1
866917861	0
866919655	1
866984386	0
866986107	1
867051201	0
867052837	1
867118291	0
867119839	1
867185659	0
867187095	1
867253298	0
867254599	1
867321195	0
867322344	1
867389371	0
867390325	1
867457822	0
867458514	1
867526673	0
867526770	1
873424136	0
873425501	1
873505358	0
873507434	1
873586799	0
873589357	1
873668422	0
873671362	1
873750191	0
873753446	1
873832071	0
873835638	1
873914091	0
873917903	1
873996217	0
874000238	1
874078446	0
874082673	1
874160808	0
874165208	1
874243301	0
874247807	1
874325862	0
874330503	1
874408552	0
874413294	1
874491307	0
874496178	1
874574188	0
874579154	1
874657193	0
874662190	1
874740261	0
874745318	1
874823451	0
874828536	1
874906733	0
874911844	1
874990106	0
874995211	1
875073571	0
875078699	1
875157126	0
875162247	1
875240802	0
875245885	1
875324568	0
875329613	1
875408427	0
875413403	1
875492377	0
875497314	1
875576420	0
875581289	1
875660585	0
875665357	1
875744845	0
875749521	1
875829200	0
875833781	1
875913651	0
875918138	1
875998201	0
876002567	1
876082877	0
876087097	1
876167655	0
876171731	1
876252536	0
876256470	1
876337550	0
876341291	1
876422672	0
876426224	1
876507932	0
876511271	1
876593281	0
876596412	1
876678801	0
876681650	1
876764443	0
876767016	1
876850239	0
876852515	1
876936216	0
876938079	1
877022356	0
877023765	1
877108833	0
877109435	1
877194000	0
